claim_id,dwellings,damaged_area_m2,land_rate_incl_gst,wall_face_m2,wall_rate_excl_gst,new_wall_face_m2,new_wall_rate_excl_gst,spoil_m3,liq_cost_excl_gst,site_multiplier,has_damaged_wall,has_new_wall,has_liquefaction,has_crossing,access,earthworks,constructability,lon,lat
b925fd8a-b386-4148-934f-0a00a512e77f,1,256.4687,1446.847373,0.0,0.0,0.0,766.6375,0.0,1500.0,0.05,0,0,1,0,E,E,M,174.776627,-41.32008
b92cb093-9182-48aa-a664-4d75d514d3b4,5,424.1327,1766.326436,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.779554,-41.313783
b93fc1c7-2187-48ed-bc0d-9f0ea4acd2db,1,276.5954,1893.629369,0.0,0.0,0.0,766.6375,0.0,2500.0,0.05,0,0,1,0,M,E,E,174.798037,-41.318712
b944f174-2b50-47e5-8e12-d5e0d475d8b9,1,0.0,1550.391028,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.773934,-41.323979
b94c7234-7305-498f-a89a-626d72595618,1,0.0,813.571915,25.002672,798.8,0.0,766.6375,0.0,0.0,0.15,1,0,0,0,M,E,D,174.789334,-41.323885
b952cdc3-77bd-49ea-9175-fd504e26529e,1,245.048,1497.623522,0.0,0.0,0.0,766.6375,0.0,1500.0,0.0,0,0,1,0,E,E,E,174.774476,-41.322395
b986df5e-054e-4ca9-ba60-e50e7268a2d7,1,0.0,1822.057912,0.0,0.0,0.0,766.6375,0.0,200.0,0.1,0,0,1,0,D,E,E,174.802412,-41.319848
b9a425c6-bac2-4376-b3a8-00c09ef548fe,1,0.0,967.942073,0.0,0.0,0.0,766.6375,0.0,200.0,0.1,0,0,1,0,M,E,M,174.802645,-41.320385
b9ab2e34-cd40-4dd5-a08b-7f6762f9db2b,1,0.0,966.433682,10.399499,643.19,0.0,766.6375,0.0,0.0,0.05,1,0,0,0,E,E,M,174.77584,-41.323031
b9b21110-4265-467c-9d24-5010e4a04be8,1,383.998,1903.492813,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.796008,-41.323383
b9bdee03-515e-4564-b346-6cdc0b07c281,1,0.0,2645.4594,0.0,0.0,0.0,766.6375,0.0,0.0,0.05,0,0,0,0,M,E,E,174.777381,-41.323499
b9c10392-f1e2-488b-90a5-b045d54ede94,1,0.0,2108.879317,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.783184,-41.316607
b9db06a4-56a6-4e18-bdf3-c16e3470d4f8,1,289.9967,1789.337288,0.0,0.0,0.0,766.6375,0.0,1500.0,0.0,0,0,1,0,E,E,E,174.781367,-41.312869
b9e9ee23-8e7d-4c4d-9667-d041afea1a2a,1,0.0,1314.825682,0.0,0.0,0.0,766.6375,0.0,200.0,0.0,0,0,1,0,E,E,E,174.785245,-41.316373
b9edf949-5841-495c-b54a-f91e97f13864,1,0.0,1272.804506,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.804657,-41.32078
b9f43c32-d5c4-4dff-a981-00ee66aca025,1,174.0476,1638.373071,4.947267,879.87,0.0,766.6375,0.0,4000.0,0.0,1,0,1,0,E,E,E,174.778863,-41.314105
ba04b866-891e-46b6-987c-24ef6f4ae265,2,0.0,1021.560297,0.0,0.0,0.0,766.6375,0.0,0.0,0.1,0,0,0,0,M,E,M,174.794341,-41.310019
