id,river_section_id,wtype,feat_type,name,name_ascii,macronated,length_m
470474,7214527,other,river_cl,,,N,464.8
469791,7214011,other,river_cl,Black Stream,Black Stream,N,464.7
472751,7214851,other,river_cl,,,N,464.6
470241,7213921,other,river_cl,,,N,464.5
481129,7213477,other,river_cl,,,N,464.3
497926,7225259,other,river_cl,,,N,464.2
480651,7641249,other,river_cl,Karori Stream,Karori Stream,N,464.2
481356,7213810,other,river_cl,Wainui Stream,Wainui Stream,N,464.1
479193,7225090,other,river_cl,Chilly Stream,Chilly Stream,N,463.9
481480,7214468,other,river_cl,,,N,463.8
470042,7213711,other,river_cl,,,N,463.7
470570,7214618,other,river_cl,,,N,463.6
469051,7212594,other,river_cl,George Creek,George Creek,N,463.3
470026,7213715,other,river_cl,,,N,463.1
469683,7213566,other,river_cl,,,N,463.0
470404,7214444,other,river_cl,,,N,462.9
472769,7214871,other,river_cl,,,N,462.8
469093,7212642,other,river_cl,Skull Gully Stream,Skull Gully Stream,N,462.8
498041,7225354,other,river_cl,,,N,462.7
470118,7213797,other,river_cl,,,N,462.5
430251,6999589,other,river_cl,,,N,462.4
479219,7401970,other,river_cl,,,N,462.3
472738,7000436,other,river_cl,Putaputa Stream,Putaputa Stream,N,462.2
469681,7213564,other,river_cl,,,N,462.2
480827,7212418,other,river_cl,,,N,461.9
480649,7641615,other,river_cl,Karori Stream,Karori Stream,N,461.6
469722,7213608,other,river_cl,Pāuatahanui Stream,Pauatahanui Stream,Y,461.5
432950,7000513,other,river_cl,,,N,461.4
497953,7225278,other,river_cl,,,N,461.1
469742,7213628,other,river_cl,,,N,461.0
468619,7641389,other,river_cl,,,N,460.9
470623,7214675,other,river_cl,Renata Stream,Renata Stream,N,460.7
469510,7213412,other,river_cl,,,N,460.6
470326,7214366,other,river_cl,,,N,460.6
469673,7213433,other,river_cl,Kenepuru Stream,Kenepuru Stream,N,460.4
470192,7213881,other,river_cl,,,N,460.4
472658,7214758,other,river_cl,,,N,460.3
469837,7214059,other,river_cl,,,N,460.1
472784,7000456,other,river_cl,,,N,460.1
470157,7213840,other,river_cl,,,N,459.9
472801,7397228,other,river_cl,,,N,459.8
469077,7212626,other,river_cl,,,N,459.6
469471,7213383,other,river_cl,,,N,459.6
470058,7213739,other,river_cl,,,N,459.6
469058,7212605,other,river_cl,,,N,459.5
469763,7213979,other,river_cl,,,N,459.4
481156,7213559,other,river_cl,,,N,459.2
468427,7641395,other,river_cl,,,N,459.1
480693,7641358,other,river_cl,,,N,458.9
481139,7396619,other,river_cl,,,N,458.8
468439,7212247,other,river_cl,,,N,458.7
472417,7214266,other,river_cl,,,N,458.3
469846,7214064,other,river_cl,,,N,458.2
472760,7214866,other,river_cl,,,N,458.0
472650,7214747,other,river_cl,,,N,457.9
497935,7225266,other,river_cl,,,N,457.8
472849,7214957,other,river_cl,,,N,457.5
468815,7212399,other,river_cl,Browns Stream,Browns Stream,N,457.5
469063,7212609,other,river_cl,Waiwhetū Stream,Waiwhetu Stream,Y,457.5
470620,7214674,other,river_cl,,,N,457.4
429365,7640996,other,river_cl,,,N,457.4
472900,7215013,other,river_cl,,,N,457.3
470033,6999769,other,river_cl,,,N,456.9
481273,7396882,other,river_cl,,,N,456.7
472889,7214993,other,river_cl,,,N,456.7
481470,7214434,other,river_cl,,,N,456.6
497951,7225276,other,river_cl,,,N,456.5
430201,7213456,other,river_cl,,,N,456.4
469813,7396836,other,river_cl,,,N,456.1
470447,7214502,other,river_cl,,,N,456.0
470233,7213913,other,river_cl,,,N,455.9
469721,7213609,other,river_cl,,,N,455.8
472799,7214905,other,river_cl,,,N,455.7
470173,7213861,other,river_cl,,,N,455.7
470396,7214450,other,river_cl,,,N,455.4
469283,7213122,other,river_cl,,,N,455.3
469459,7641498,other,river_cl,Korokoro Stream,Korokoro Stream,N,455.3
469709,7213592,other,river_cl,,,N,455.3
482691,7215007,other,river_cl,,,N,455.2
470511,7214572,other,river_cl,,,N,455.2
470386,7000221,other,river_cl,,,N,455.1
468535,7641300,other,river_cl,,,N,454.9
479228,7225126,other,river_cl,Bull Stream,Bull Stream,N,454.8
468417,7640856,other,river_cl,,,N,454.8
468627,7641408,other,river_cl,,,N,454.8
470209,7213893,other,river_cl,,,N,454.7
468660,7641433,other,river_cl,,,N,454.6
481322,7213716,other,river_cl,,,N,454.3
472806,7214676,other,river_cl,,,N,453.9
470525,7214574,other,river_cl,,,N,453.9
469678,8171181,other,river_cl,,,N,453.8
481105,7396589,other,river_cl,Mill Creek,Mill Creek,N,453.6
469864,7214081,other,river_cl,,,N,453.5
481485,7397036,other,river_cl,,,N,453.1
479236,7225134,other,river_cl,,,N,453.1
472657,7397157,other,river_cl,Farm Creek,Farm Creek,N,453.0
469715,7213598,other,river_cl,,,N,452.9
470105,7213786,other,river_cl,,,N,452.4
481287,7214180,other,river_cl,,,N,452.2
470586,7214639,other,river_cl,,,N,452.1
469101,7212649,other,river_cl,,,N,452.1
470601,7214654,other,river_cl,,,N,452.0
470064,7213745,other,river_cl,,,N,451.7
470057,6999707,other,river_cl,,,N,451.6
481113,7213652,other,river_cl,,,N,451.6
481272,7214122,other,river_cl,,,N,451.5
20575,6786373,other,drain_cl,,,N,451.5
469122,7212677,other,river_cl,,,N,451.4
468664,7212251,other,river_cl,,,N,451.3
469773,7213992,other,river_cl,,,N,451.2
470214,7213895,other,river_cl,,,N,451.2
468574,7641325,other,river_cl,,,N,451.1
469963,7214179,other,river_cl,,,N,451.0
469584,7213471,other,river_cl,,,N,451.0
472941,7215056,other,river_cl,,,N,450.9
472818,7214926,other,river_cl,Renata Stream,Renata Stream,N,450.6
469689,7213572,other,river_cl,,,N,450.6
469598,7213472,other,river_cl,,,N,450.5
472436,7214285,other,river_cl,,,N,450.3
470510,7214570,other,river_cl,,,N,450.3
472761,7214867,other,river_cl,,,N,450.2
469622,7213509,other,river_cl,,,N,450.2
469986,7213675,other,river_cl,,,N,450.2
468750,7212244,other,river_cl,,,N,450.1
469623,7213511,other,river_cl,,,N,450.1
482453,7214303,other,river_cl,,,N,450.0
469965,7396897,other,river_cl,,,N,450.0
469874,7214093,other,river_cl,,,N,449.8
470135,7213820,other,river_cl,,,N,449.6
472935,7397293,other,river_cl,,,N,449.5
468614,7641387,other,river_cl,Mākara Stream,Makara Stream,Y,449.5
469575,7213464,other,river_cl,,,N,449.2
20583,6786382,other,drain_cl,,,N,449.2
469119,7212673,other,river_cl,Skull Gully Stream,Skull Gully Stream,N,449.1
468768,7212343,other,river_cl,,,N,448.8
432957,7000519,other,river_cl,,,N,448.6
469142,7212547,other,river_cl,,,N,448.5
470312,7214363,other,river_cl,,,N,448.5
470315,7214369,other,river_cl,,,N,448.4
469460,7641493,other,river_cl,,,N,448.3
470365,7214416,other,river_cl,,,N,448.2
498036,7225284,other,river_cl,,,N,448.1
472418,7214257,other,river_cl,,,N,447.9
469865,6999951,other,river_cl,,,N,447.8
472844,7000481,other,river_cl,,,N,447.5
469607,7213496,other,river_cl,,,N,447.5
481172,7396652,other,river_cl,,,N,447.0
497964,7008831,other,river_cl,,,N,446.8
472762,7000445,other,river_cl,,,N,446.7
470579,7214630,other,river_cl,,,N,446.5
468632,7641410,other,river_cl,,,N,446.5
